step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
52501.0,0.245,0.163,0.568,0.779,0.903
52601.0,0.245,0.17,0.567,0.778,0.9
52701.0,0.246,0.181,0.574,0.785,0.907
52801.0,0.253,0.19,0.584,0.778,0.904
52901.0,0.257,0.193,0.591,0.777,0.907
53001.0,0.255,0.195,0.596,0.781,0.897
53101.0,0.257,0.202,0.602,0.783,0.905
53201.0,0.26,0.209,0.604,0.781,0.909
53301.0,0.259,0.214,0.608,0.784,0.903
53401.0,0.266,0.217,0.609,0.789,0.909
53501.0,0.269,0.218,0.617,0.793,0.913
53601.0,0.271,0.219,0.619,0.789,0.909
53701.0,0.269,0.234,0.624,0.794,0.901
53801.0,0.265,0.23,0.631,0.787,0.905
53901.0,0.271,0.24,0.632,0.797,0.904
54001.0,0.266,0.247,0.636,0.798,0.905
54101.0,0.275,0.251,0.641,0.795,0.901
54201.0,0.27,0.258,0.644,0.8,0.902
54301.0,0.275,0.264,0.649,0.803,0.907
54401.0,0.275,0.261,0.65,0.805,0.892
54501.0,0.279,0.269,0.654,0.803,0.887
54601.0,0.277,0.276,0.659,0.813,0.895
54701.0,0.275,0.273,0.664,0.811,0.897
54801.0,0.28,0.281,0.667,0.82,0.906
54901.0,0.279,0.282,0.667,0.818,0.899
55001.0,0.281,0.286,0.667,0.812,0.911
